n,q,t,beta,seed,model,alpha,plateau,fitted_plateau,fitted_slope_len,delta,true_k,model_k,true_cost,model_cost,cost_error,bound_holds,true_d,model_d,seconds
320,31,160,40,5,ZGSA,0.5000000060213307,28,110,101,86.25035863691187,148,156,353.2380503217246,285.7243539648374,67.51369635688718,True,24,24,217.143
320,31,160,40,9,GSA,0.5000000375324724,25,-1,-1,34.037973243321716,151,154,355.37897697946227,321.6637262272955,33.71525075216675,True,24,13,210.188
320,31,160,40,9,TGSA,0.5000000375324724,25,-1,-1,51.51973238157193,151,156,355.37897697946227,366.15556482621594,10.77658784675367,True,24,11,210.188
320,31,160,40,9,ZGSA,0.5000000375324724,25,153,15,87.07147453639459,151,159,355.37897697946227,322.40787023798555,32.97110674147672,True,24,24,210.188
320,31,160,40,6,GSA,0.4999999741205986,26,-1,-1,34.79770671437324,150,154,354.55942504726676,320.5585839387208,34.000841108545956,True,24,13,229.29
320,31,160,40,6,TGSA,0.4999999741205986,26,-1,-1,52.59667465631172,150,156,354.55942504726676,366.1555648262147,11.59613977894793,True,24,11,229.29
320,31,160,40,6,ZGSA,0.4999999741205986,26,99,122,88.10174107720457,150,156,354.55942504726676,276.0260176432099,78.53340740405685,True,24,24,229.29
320,127,240,40,0,GSA,0.7499999999974354,156,-1,-1,45.3538544870398,123,152,269.9236619181127,244.28063653865814,25.64302537945457,True,34,19,168.482
320,127,240,40,0,TGSA,0.7499999999974354,156,-1,-1,149.76221269172078,123,156,269.9236619181127,366.1555648262163,96.23190290810356,True,34,11,168.482
320,127,240,40,0,ZGSA,0.7499999999974354,156,155,165,0.5189235100873191,123,122,269.9236619181127,270.18233145656603,0.25866953845331864,True,34,34,168.482
320,127,240,40,1,GSA,0.7499999999993726,154,-1,-1,45.02379023354567,122,152,269.96203421645345,243.8341160520603,26.12791816439315,True,34,19,169.967
320,127,240,40,1,TGSA,0.7499999999993726,154,-1,-1,149.76221269275163,122,156,269.96203421645345,366.1555648262155,96.19353060976204,True,34,11,169.967
320,127,240,40,1,ZGSA,0.7499999999993726,154,155,159,0.5186907541745427,122,122,269.96203421645345,270.14121991792126,0.17918570146781576,True,34,34,169.967
320,127,160,40,1,GSA,0.5000018680977425,17,-1,-1,24.79133390248608,154,155,407.0662720814703,382.2874490430445,24.7788230384258,True,17,11,286.881
320,127,160,40,1,TGSA,0.5000018680977425,17,-1,-1,41.10654328349324,154,156,407.0662720814703,366.1555648262156,40.91070725525469,True,17,11,286.881
320,127,160,40,1,ZGSA,0.5000018680977425,17,97,127,67.29833357461189,154,156,407.0662720814703,364.9591775593989,42.10709452207141,True,17,18,286.881
320,127,160,40,2,GSA,0.49999947641063397,17,-1,-1,24.866552359791754,154,155,407.4536796015241,382.66189075397585,24.79178884754822,True,17,11,286.987
320,127,160,40,2,TGSA,0.49999947641063397,17,-1,-1,41.687061897635544,154,156,407.4536796015241,366.15556482621525,41.29811477530882,True,17,11,286.987
320,127,160,40,2,ZGSA,0.49999947641063397,17,112,96,69.06558124456345,154,158,407.4536796015241,382.59761469423216,24.85606490729191,True,17,18,286.987
320,127,160,40,5,GSA,0.5000047370594544,15,-1,-1,22.732998161484147,155,155,407.6013120417048,384.9365464662378,22.66476557546696,True,16,11,287.057
320,127,160,40,5,TGSA,0.5000047370594544,15,-1,-1,41.8111041523357,155,156,407.6013120417048,366.1555648262164,41.44574721548838,True,16,11,287.057
320,127,160,40,5,ZGSA,0.5000047370594544,15,114,93,66.98246677199316,155,157,407.6013120417048,385.4827373874276,22.118574654277154,True,16,18,287.057
320,127,240,40,5,GSA,0.7499999999995919,154,-1,-1,44.76456694940963,122,152,269.6868784373287,243.4834312785446,26.203447158784087,True,34,19,179.055
320,127,240,40,5,TGSA,0.7499999999995919,154,-1,-1,149.76221269286896,122,156,269.6868784373287,366.15556482621446,96.46868638888577,True,34,11,179.055
320,127,240,40,5,ZGSA,0.7499999999995919,154,154,163,0.5259848447137188,122,123,269.6868784373287,269.26726252528704,0.4196159120416496,True,34,34,179.055
320,127,240,40,7,GSA,0.750000000000029,155,-1,-1,45.10704669976036,121,152,270.2062281197566,243.9467478104921,26.25948030926449,True,34,19,172.413
320,127,240,40,7,TGSA,0.750000000000029,155,-1,-1,149.76221269310273,121,156,270.2062281197566,366.1555648262163,95.94933670645969,True,34,11,172.413
320,127,240,40,7,ZGSA,0.750000000000029,155,155,158,0.7169280011358694,121,122,270.2062281197566,270.1274879962126,0.07874012354398019,True,34,34,172.413
320,127,240,40,2,GSA,0.7500000000001267,154,-1,-1,45.06995140270351,123,152,270.2935987754161,243.8965642191111,26.397034556305016,True,34,19,206.079
320,127,240,40,2,TGSA,0.7500000000001267,154,-1,-1,149.76221269315357,123,156,270.2935987754161,366.1555648262133,95.86196605079721,True,34,11,206.079
320,127,240,40,2,ZGSA,0.7500000000001267,154,155,161,0.4094238437801181,123,122,270.2935987754161,270.16277026782086,0.130828507595254,True,34,34,206.079
320,127,240,40,3,GSA,0.7500000000015931,154,-1,-1,45.00096502197417,122,152,270.625172917099,243.8032374428588,26.821935474240206,True,34,19,202.932
320,127,240,40,3,TGSA,0.7500000000015931,154,-1,-1,149.76221269393483,122,156,270.625172917099,366.15556482621287,95.53039190911386,True,34,11,202.932
320,127,240,40,3,ZGSA,0.7500000000015931,154,155,159,0.7505982553855972,122,122,270.625172917099,270.1412199160307,0.48395300106830064,True,34,34,202.932
320,127,240,40,6,GSA,0.749999999999493,154,-1,-1,44.6372148100352,121,152,269.143707129554,243.3111456090475,25.832561520506516,True,34,19,187.668
320,127,240,40,6,TGSA,0.749999999999493,154,-1,-1,149.76221269281592,121,156,269.143707129554,366.1555648262133,97.01185769665932,True,34,11,187.668
320,127,240,40,6,ZGSA,0.749999999999493,154,154,166,0.5001051077315708,121,123,269.143707129554,269.2787163937397,0.1350092641857259,True,34,34,187.668
320,127,240,40,4,GSA,0.7500000000008401,155,-1,-1,45.32591306145798,121,152,270.536631496539,244.24283656766062,26.293794928878356,True,34,19,201.249
320,127,240,40,4,TGSA,0.7500000000008401,155,-1,-1,149.76221269353394,121,156,270.536631496539,366.15556482621605,95.61893332967708,True,34,11,201.249
320,127,240,40,4,ZGSA,0.7500000000008401,155,155,160,0.5858633366279662,121,122,270.536631496539,270.15297894965113,0.3836525468878449,True,34,34,201.249
